feature,dim,r,p
right_knee_angle_min,0,0.5651484221760023,8.512814521678046e-35
right_knee_angle_min,1,-0.7072002153211165,2.6776944027865064e-61
right_knee_angle_min,2,0.09444285295554232,0.06042950974007477
watch_pitch_mean,0,-0.9627730378476568,5.9519499544085265e-226
watch_pitch_mean,1,0.08260215301172492,0.10072023972440569
watch_pitch_mean,2,0.09321695687003011,0.06385843775746096
watch_mag_y_min,0,-0.8359510901066629,1.027192848838273e-104
watch_mag_y_min,1,-0.12231645016114813,0.014870245586252384
watch_mag_y_min,2,0.38611269597284953,1.5809916412510843e-15
watch_grav_y_mean,0,0.9615817336689169,2.6196462406351707e-223
watch_grav_y_mean,1,-0.07272850865236036,0.1485653179247501
watch_grav_y_mean,2,-0.09646812885035273,0.05509849770651911
watch_mag_y_rms,0,0.9269019128977626,8.780719889675448e-170
watch_mag_y_rms,1,-0.14072765335194642,0.005022815471182112
watch_mag_y_rms,2,0.035646613456547196,0.47935453852250987
watch_quat_y_rms,0,-0.752056687845693,2.4730690954059736e-73
watch_quat_y_rms,1,-0.5595420084126992,5.288340563180553e-34
watch_quat_y_rms,2,-0.24329183263574466,9.585680975739608e-07
watch_quat_x_mean,0,-0.892711339688119,1.809893435342062e-138
watch_quat_x_mean,1,-0.1578727647196834,0.0016244374766857313
watch_quat_x_mean,2,0.31686180439214195,1.0998341372830551e-10
watch_quat_y_mean,0,0.47299418227246837,1.8137342128711645e-23
watch_quat_y_mean,1,0.7420027253568634,2.0296353578393812e-70
watch_quat_y_mean,2,-0.3126004007961499,2.002929255807415e-10
watch_pitch_min,0,-0.7960795196151046,5.864762536135638e-88
watch_pitch_min,1,-0.13420870230015425,0.007486620921131052
watch_pitch_min,2,0.5064124143346964,3.49934447303206e-27
right_knee_angle_range,0,-0.5941781134724122,3.714131620229903e-39
right_knee_angle_range,1,0.7122219614902694,1.5701142262028282e-62
right_knee_angle_range,2,-0.21576197489262638,1.4832822442938814e-05
watch_grav_y_max,0,0.779341586501112,5.315046557197711e-82
watch_grav_y_max,1,0.16690912706719724,0.0008549305765792109
watch_grav_y_max,2,-0.5290247512051354,6.136839895617562e-30
airpods_accZ_min,0,0.5066563048836723,3.2760224880803886e-27
airpods_accZ_min,1,-0.015513202944505543,0.758271441471946
airpods_accZ_min,2,-0.19391413742765043,0.00010293437608938995
watch_mag_x_max,0,-0.6454387086949551,4.889064137153177e-48
watch_mag_x_max,1,-0.2733902145010535,3.22285285011881e-08
watch_mag_x_max,2,-0.5552347535207917,2.101801821273811e-33
airpods_gravX_min,0,0.22643851407674617,5.337295236969653e-06
airpods_gravX_min,1,-0.7044281769382927,1.2490940531028328e-60
airpods_gravX_min,2,-0.5394198525493444,2.8172758112362576e-31
watch_grav_x_rms,0,-0.7835993805785417,1.8223452734073427e-83
watch_grav_x_rms,1,-0.24904139231053318,5.180678792763689e-07
watch_grav_x_rms,2,-0.4817567798191062,2.1072261137333423e-24
watch_roll_rms,0,-0.7671221007187836,5.67636682486743e-78
watch_roll_rms,1,-0.1533341337681772,0.002215006097775415
watch_roll_rms,2,-0.5628263179387338,1.8216239005661282e-34
watch_mag_y_mean,0,-0.8969944023012775,9.192957614846446e-142
watch_mag_y_mean,1,0.20492122366216453,3.979384442474136e-05
watch_mag_y_mean,2,-0.12437391065201847,0.013256258225682238
watch_mag_x_mean,0,-0.4691246054207807,4.6016827409568375e-23
watch_mag_x_mean,1,-0.6741997456274685,8.227797243378554e-54
watch_mag_x_mean,2,0.45345065429383846,1.7745676849237434e-21
right_ankle_angle_range,0,-0.5842655591085768,1.2825676606781612e-37
right_ankle_angle_range,1,0.512566286008475,6.519995045035451e-28
right_ankle_angle_range,2,-0.3688722575287051,3.288008309547667e-14
watch_grav_x_min,0,0.5176944835142021,1.5656489645172374e-28
watch_grav_x_min,1,0.6082705219766128,1.9453906052372407e-41
watch_grav_x_min,2,0.37247301426967216,1.7704990329679728e-14
airpods_qy_mean,0,0.34547307985559467,1.52704615932358e-12
airpods_qy_mean,1,-0.6093030258713605,1.3103475392759205e-41
airpods_qy_mean,2,-0.5889908876040701,2.406688570600011e-38
airpods_gravX_mean,0,0.2538687756139967,3.054130064782954e-07
airpods_gravX_mean,1,-0.7316843763123022,1.4462451142004093e-67
airpods_gravX_mean,2,-0.5460788558270684,3.697359595747677e-32
watch_mag_x_rms,0,-0.6608840185068292,4.6541261089059394e-51
watch_mag_x_rms,1,0.1331362264128657,0.007982202588737648
watch_mag_x_rms,2,-0.6392871593107976,6.990782722775616e-47
left_knee_angle_range,0,-0.499135284639829,2.4435548631023652e-26
left_knee_angle_range,1,0.7011211951213848,7.66266523075178e-60
left_knee_angle_range,2,-0.31564272258966675,1.3068519366429226e-10
watch_quat_x_min,0,-0.6031803557979347,1.3364561584576116e-40
watch_quat_x_min,1,-0.4093121165788258,1.9885048736483092e-17
watch_quat_x_min,2,0.6454544741674952,4.855463333326272e-48
right_trunk_angle_range,0,0.6194762173376815,2.4669187022708096e-43
right_trunk_angle_range,1,0.15663385920218317,0.001769363184317353
right_trunk_angle_range,2,0.26277559432878467,1.1195055597172448e-07
right_ankle_angle_min,0,0.4992796571565009,2.352194054422365e-26
right_ankle_angle_min,1,-0.5840593894887387,1.3788431181254416e-37
right_ankle_angle_min,2,0.25060040128156885,4.373038605426992e-07
