,PC1,PC2,PC3
right_knee_angle_min,0.16183978628418735,-0.29213626766300943,0.04457107898605646
watch_pitch_mean,-0.2640536418518703,0.03267984024661996,0.042133199157493556
watch_mag_y_min,-0.24137911153588773,-0.05094763161630113,0.1837359634869512
watch_grav_y_mean,0.26407467167413157,-0.028811478230369204,-0.04366019503930028
watch_mag_y_rms,0.25759046130972174,-0.05641515161129675,0.01632584046148819
watch_quat_y_rms,-0.21868096120167804,-0.2347001727121306,-0.11658675088447146
watch_quat_x_mean,-0.2518137015607403,-0.06423856568622495,0.14729888845223565
watch_quat_y_mean,0.14034190003236996,0.3175830890913064,-0.152855952779293
watch_pitch_min,-0.2283826470130609,-0.05554022611370633,0.23942652794011654
right_knee_angle_range,-0.16876893096427398,0.29181762955816254,-0.10099782714021849
watch_grav_y_max,0.22408472362279422,0.06922848068999644,-0.2506811417229224
airpods_accZ_min,0.1467380840910708,-0.006481136708752437,-0.09255505402410566
watch_mag_x_max,-0.19120706967936718,-0.11682941962790026,-0.27107336877645277
airpods_gravX_min,0.06543113209089989,-0.2936237445587462,-0.25687529453915203
watch_grav_x_rms,-0.222117492367227,-0.1018311219657248,-0.22504936196394715
watch_roll_rms,-0.22209258856364208,-0.06403666861555837,-0.26853768524997196
watch_mag_y_mean,-0.2529345491803185,0.08335385270994815,-0.05779749089512845
watch_mag_x_mean,-0.13954353873867842,-0.2892880005261389,0.22228636601810872
right_ankle_angle_range,-0.16037091383692914,0.20294841778630782,-0.16686013246436154
watch_grav_x_min,0.15569035883008792,0.26387926631898906,0.1846053439797431
airpods_qy_mean,0.10080608340249878,-0.25646386330080917,-0.28323203882672815
airpods_gravX_mean,0.07343143224343711,-0.30529297254899507,-0.26030909632781013
watch_mag_x_rms,-0.18696778587230456,0.0543323004637615,-0.2980566318339882
left_knee_angle_range,-0.14352999248797174,0.2908290614485306,-0.14958272614475907
watch_quat_x_min,-0.17732607731513872,-0.17358025986401576,0.3127175871198287
right_trunk_angle_range,0.17557797603659933,0.06404000606224472,0.12274157750591928
right_ankle_angle_min,0.14185606553574454,-0.23937641825196943,0.11734026751270253
