fault,both_correct,raw_correct_only,best_correct_only,both_wrong,p_value
heel_lift,79,10,0,0,0.001953125
toe_out,80,9,0,0,0.00390625
toe_in,80,8,0,1,0.0078125
weight_shift_to_toes,69,19,0,1,3.814697265625e-06
knee_valgus,82,5,0,2,0.0625
knee_varus,78,7,0,4,0.015625
excessive_knee_travel,65,20,1,3,2.09808349609375e-05
butt_wink,54,29,2,4,4.628673195838928e-07
lumbar_extension,83,5,0,1,0.0625
hip_shift,59,20,3,7,0.00048828125
forward_lean,49,36,2,2,5.398760549724102e-09
chest_collapse,70,15,2,2,0.002349853515625
shallow_depth,47,31,4,7,3.4654513001441956e-06
excessive_depth,78,10,0,1,0.001953125
weak_bracing,78,10,1,0,0.01171875
poor_breathing,72,14,3,0,0.012725830078125
dropping_too_fast,76,9,0,4,0.00390625
unintentional_pause,81,4,0,4,0.125
asymmetrical_pattern,59,20,3,7,0.00048828125
poor_stance,55,32,1,1,7.916241884231567e-09
good_technique,82,6,0,1,0.03125
