fault,both_correct,raw_correct_only,best_correct_only,both_wrong,p_value
heel_lift,79,10,0,0,0.001953125
toe_out,81,8,0,0,0.0078125
toe_in,79,9,0,1,0.00390625
weight_shift_to_toes,69,19,0,1,3.814697265625e-06
knee_valgus,80,7,0,2,0.015625
knee_varus,81,4,0,4,0.125
excessive_knee_travel,65,20,1,3,2.09808349609375e-05
butt_wink,54,29,3,3,2.5560148060321808e-06
lumbar_extension,82,6,0,1,0.03125
hip_shift,67,12,4,6,0.076812744140625
forward_lean,52,33,2,2,3.6729034036397934e-08
chest_collapse,63,22,2,2,3.5881996154785156e-05
shallow_depth,49,29,3,8,2.5560148060321808e-06
excessive_depth,77,11,0,1,0.0009765625
weak_bracing,77,11,1,0,0.00634765625
poor_breathing,71,15,3,0,0.007537841796875
dropping_too_fast,72,13,0,4,0.000244140625
unintentional_pause,76,9,0,4,0.00390625
asymmetrical_pattern,67,12,4,6,0.076812744140625
poor_stance,61,26,1,1,4.172325134277344e-07
good_technique,83,5,0,1,0.0625
