frameIndex,localTime,globalTime
0,59963.973207524,119927.97273506568
1,59964.006526364,119928.00605390567
2,59964.039851471,119928.03937901268
3,59964.073189529,119928.07271707068
4,59964.106518288,119928.10604582969
5,59964.139851637,119928.13937917868
6,59964.173181855,119928.17270939669
7,59964.206514203,119928.20604174468
8,59964.239849878,119928.23937741968
9,59964.27318127,119928.27270881168
10,59964.306519029,119928.30604657068
11,59964.339842504,119928.33937004568
12,59964.373174916,119928.37270245768
13,59964.406504797,119928.40603233868
14,59964.439844902,119928.43937244368
15,59964.473164908,119928.47269244968
16,59964.506491497,119928.50601903867
17,59964.539828893,119928.53935643469
18,59964.573160441,119928.57268798268
19,59964.606487004,119928.60601454569
20,59964.63982305,119928.63935059168
21,59964.673155738,119928.67268327967
22,59964.706492063,119928.70601960468
23,59964.739816827,119928.73934436869
24,59964.773156005,119928.77268354667
25,59964.806489101,119928.80601664269
26,59964.839811696,119928.83933923769
27,59964.873143877,119928.87267141868
28,59964.906481013,119928.90600855468
29,59964.939803902,119928.93933144369
30,59964.973139622,119928.97266716367
31,59965.006466262,119929.00599380367
32,59965.039807668,119929.03933520967
33,59965.073137175,119929.07266471669
34,59965.106473236,119929.10600077768
35,59965.139804284,119929.13933182569
36,59965.173125459,119929.17265300069
37,59965.206453853,119929.20598139468
38,59965.239786901,119929.23931444268
39,59965.27310988,119929.27263742167
40,59965.306443262,119929.30597080369
41,59965.339778781,119929.33930632268
42,59965.373104365,119929.37263190668
43,59965.406432424,119929.40595996569
44,59965.439778058,119929.43930559968
45,59965.473098949,119929.47262649068
46,59965.506437585,119929.50596512668
47,59965.539772344,119929.53929988568
48,59965.573099152,119929.57262669368
49,59965.606424455,119929.60595199668
50,59965.639769344,119929.63929688568
51,59965.673095605,119929.67262314667
52,59965.706420519,119929.70594806068
53,59965.739755493,119929.73928303468
54,59965.773083543,119929.77261108469
55,59965.806416394,119929.80594393567
56,59965.839752742,119929.83928028369
57,59965.873072168,119929.87259970968
58,59965.906418391,119929.90594593268
59,59965.939739026,119929.93926656767
60,59965.973074501,119929.97260204269
61,59966.006399269,119930.00592681067
62,59966.039725741,119930.03925328268
63,59966.07305717,119930.07258471168
64,59966.106403974,119930.10593151569
65,59966.139725862,119930.13925340367
66,59966.173052125,119930.17257966669
67,59966.206392179,119930.20591972068
68,59966.239721983,119930.23924952469
69,59966.27305783,119930.27258537168
70,59966.306389384,119930.30591692569
71,59966.339716979,119930.33924452067
72,59966.373049784,119930.37257732567
73,59966.406377756,119930.40590529768
74,59966.439719477,119930.43924701869
75,59966.473034156,119930.47256169768
76,59966.506381711,119930.50590925268
77,59966.539714348,119930.53924188968
78,59966.573029735,119930.57255727668
79,59966.606376124,119930.60590366568
80,59966.639701844,119930.63922938568
81,59966.67302747,119930.67255501168
82,59966.706348862,119930.70587640368
83,59966.739681086,119930.73920862768
84,59966.773013219,119930.77254076068
